Acousticness,Artist Name,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Tempo,Track Name,Track Reference,Valence,_id
0.709,Rauw Alejandro,0.768,0.56,0.000791,0.115,0.115,3,112.084,2/Catorce,https://api.spotify.com/v1/tracks/0PwFN7vRvY80Hnkoew2x3f,0.372,60f7907fa24480877399e2a1
0.00772,Trinidad Cardona,0.708,0.782,0,0.107,0.107,2,119.997,Dinero,https://api.spotify.com/v1/tracks/3ggtU1ZOKO8ZNiqPNyXGcm,0.484,60f7907fa24480877399e2a2
0.165,Sech,0.816,0.71,0,0.292,0.292,7,93.02,911 - Remix,https://api.spotify.com/v1/tracks/27RSJHEA99Y0Vsow7nA37A,0.784,60f7907fa24480877399e2a3
0.524,Giveon,0.449,0.465,0.00000102,0.303,0.303,0,89.087,Heartbreak Anniversary,https://api.spotify.com/v1/tracks/3FAJ6O0NOHQV8Mc5Ri6ENp,0.543,60f79080a24480877399e2a4
0.194,ATB,0.669,0.784,0.00000628,0.115,0.115,7,125.993,Your Love (9PM),https://api.spotify.com/v1/tracks/5YaskwnGDZFDRipaqzbwQx,0.517,60f79080a24480877399e2a5
0.00226,Marshmello,0.721,0.738,0.00000441,0.118,0.118,7,119.976,Leave Before You Love Me (with Jonas Brothers),https://api.spotify.com/v1/tracks/4qu63nuBpdn0qHUHuObEj1,0.637,60f79080a24480877399e2a6
0.0133,Megan Thee Stallion,0.95,0.693,0,0.173,0.173,9,130.02,Thot Shit,https://api.spotify.com/v1/tracks/5zNW5ARjYhJQJz1AChP33n,0.891,60f79080a24480877399e2a7
0.0377,Maroon 5,0.713,0.676,0,0.154,0.154,10,99.048,Beautiful Mistakes (feat. Megan Thee Stallion),https://api.spotify.com/v1/tracks/5zFglKYiknIxks8geR8rcL,0.721,60f79080a24480877399e2a8
0.00138,Måneskin,0.625,0.939,0,0.424,0.424,4,102.999,ZITTI E BUONI,https://api.spotify.com/v1/tracks/776AftMmFFAWUIEAb3lHhw,0.644,60f79081a24480877399e2a9
0.282,Marc Seguí,0.75,0.522,0,0.0743,0.0743,9,110.427,Tiroteo - Remix,https://api.spotify.com/v1/tracks/4OwhwvKESFtuu06dTgct7i,0.601,60f79081a24480877399e2aa
0.326,OneRepublic,0.682,0.72,0,0.148,0.148,11,117.003,Run,https://api.spotify.com/v1/tracks/2UbVnbE5FH6008mAm6Mmgw,0.673,60f79081a24480877399e2ab
0.0212,The Weeknd,0.68,0.826,0.0000124,0.543,0.543,0,118.051,Save Your Tears,https://api.spotify.com/v1/tracks/5QO79kh1waicV47BqGRL3g,0.644,60f79081a24480877399e2ac
0.0123,Dua Lipa,0.793,0.793,0,0.0951,0.0951,11,123.95,"Don't Start Now",https://api.spotify.com/v1/tracks/3PfIrDoz19wz7qK7tYeu62,0.679,60f79081a24480877399e2ad
0.751,Lewis Capaldi,0.501,0.405,0,0.105,0.105,1,109.891,Someone You Loved,https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf,0.446,60f79081a24480877399e2ae
0.0495,The Neighbourhood,0.612,0.807,0.0177,0.101,0.101,10,124.053,Sweater Weather,https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6,0.398,60f79082a24480877399e2af
0.112,Kali Uchis,0.653,0.524,0,0.203,0.203,11,83.97,telepatía,https://api.spotify.com/v1/tracks/6tDDoYIxWvMLTdKpjFkc1B,0.553,60f79082a24480877399e2b0
0.00213,WILLOW,0.374,0.83,0,0.15,0.15,11,90.19,t r a n s p a r e n t s o u l feat. Travis Barker,https://api.spotify.com/v1/tracks/5JKnYZOhSP7rOK0jPYcCjV,0.204,60f79082a24480877399e2b1
0.407,Los Legendarios,0.849,0.701,0,0.112,0.112,6,98.005,Fiel,https://api.spotify.com/v1/tracks/7Bk0uXKk1uPT0XuQbpFzvs,0.505,60f79082a24480877399e2b2
0.256,KAROL G,0.635,0.706,0,0.108,0.108,5,88.863,EL MAKINON,https://api.spotify.com/v1/tracks/2FSGUA0gFgGeQdprjtGM2M,0.443,60f79082a24480877399e2b3
0.494,Tiago PZK,0.729,0.513,0.0000011,0.137,0.137,5,170.064,Entre Nosotros,https://api.spotify.com/v1/tracks/6w8yBI2vthyN9UnwO4UBWb,0.789,60f79083a24480877399e2b4
0.656,Gera MX,0.727,0.546,0,0.122,0.122,0,106.891,Botella Tras Botella,https://api.spotify.com/v1/tracks/2MnLkFqY9Rpg9s3Zv6ZJdK,0.69,60f79083a24480877399e2b5
0.526,Pop Smoke,0.716,0.67,0,0.13,0.13,0,145.043,Bout A Million (feat. 42 Dugg & 21 Savage),https://api.spotify.com/v1/tracks/4LaGu95Ui2s4vprSQYWUAZ,0.411,60f79083a24480877399e2b6
0.213,The Kid LAROI,0.662,0.413,0,0.134,0.134,0,93.005,WITHOUT YOU,https://api.spotify.com/v1/tracks/27OeeYzk6klgBh83TSvGMA,0.467,60f79083a24480877399e2b7
0.0618,Drake,0.578,0.449,0.00000217,0.119,0.119,1,136.006,Wants and Needs (feat. Lil Baby),https://api.spotify.com/v1/tracks/65OVbaJR5O1RmwOQx0875b,0.1,60f79083a24480877399e2b8
0.418,Travis Scott,0.841,0.593,0,0.124,0.124,1,124.917,Goosebumps - Remix,https://api.spotify.com/v1/tracks/5uEYRdEIh9Bo4fpjDd4Na9,0.808,60f79084a24480877399e2b9
0.0142,Joel Corry,0.671,0.782,0.00221,0.333,0.333,6,123.989,BED,https://api.spotify.com/v1/tracks/0siYMEsGrzzzlWLXK5zJfS,0.618,60f79084a24480877399e2ba
0.168,Joel Corry,0.734,0.874,0.0000114,0.0489,0.0489,8,122.953,Head & Heart (feat. MNEK),https://api.spotify.com/v1/tracks/6cx06DFPPHchuUAcTxznu9,0.905,60f79084a24480877399e2bb
0.827,Duncan Laurence,0.453,0.35,0.00122,0.144,0.144,9,72.017,Arcade,https://api.spotify.com/v1/tracks/1J14CdDAvBTE1AJYUOwl6C,0.279,60f79084a24480877399e2bc
0.251,Pop Smoke,0.662,0.686,0.00000559,0.349,0.349,7,143.971,Tell The Vision (feat. Kanye West & Pusha T),https://api.spotify.com/v1/tracks/2UwALqx6yOsXTFt7zRxnts,0.678,60f79084a24480877399e2bd
0.336,Pop Smoke,0.675,0.608,0,0.11,0.11,3,99.865,Demeanor (feat. Dua Lipa),https://api.spotify.com/v1/tracks/3DMs7bahbQTnoxCjgP7qoK,0.728,60f79085a24480877399e2be
0.369,João Gomes,0.668,0.887,0.00000139,0.257,0.257,11,151.92,Meu Pedaço de Pecado,https://api.spotify.com/v1/tracks/2kJRlOyrxsy7Ot3c5TZ8Q6,0.907,60f79085a24480877399e2bf
0.69,Tones And I,0.824,0.587,0.000105,0.149,0.149,6,98.029,Dance Monkey,https://api.spotify.com/v1/tracks/2N8m6CYs74qQO4mjVcXO30,0.514,60f79085a24480877399e2c0
0.348,Mora,0.818,0.673,0,0.172,0.172,4,87.961,512,https://api.spotify.com/v1/tracks/5jzEwSyyymBlf1fa1o39T2,0.695,60f79085a24480877399e2c1
0.222,Justin Quiles,0.77,0.899,0.00000114,0.0894,0.0894,8,128.05,Loco,https://api.spotify.com/v1/tracks/6PDlkWmrq2ZKiUuFt2aQsH,0.851,60f79085a24480877399e2c2
0.468,Ariana Grande,0.737,0.802,0,0.0931,0.0931,0,144.015,positions,https://api.spotify.com/v1/tracks/35mvY5S1H3J2QZyna3TFe0,0.682,60f79085a24480877399e2c3
0.192,Post Malone,0.695,0.762,0.00244,0.0863,0.0863,0,120.042,Circles,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb,0.553,60f79086a24480877399e2c4
0.131,Justin Wellington,0.862,0.753,0.00000201,0.077,0.077,5,105.039,Iko Iko (My Bestie),https://api.spotify.com/v1/tracks/7MC4XR9M9amdmKQr2iDF7i,0.827,60f79086a24480877399e2c5
0.305,Natti Natasha,0.908,0.813,0,0.278,0.278,5,97.018,Ram Pam Pam,https://api.spotify.com/v1/tracks/4DHDIdeayp8xvlyg22wREO,0.924,60f79086a24480877399e2c6
0.359,Pop Smoke,0.563,0.672,0,0.0972,0.0972,9,99.772,Woo Baby (feat. Chris Brown),https://api.spotify.com/v1/tracks/58T4yPLn4NjBYXfRxeweyM,0.284,60f79086a24480877399e2c7
0.00173,Dua Lipa,0.659,0.667,0.0000285,0.1,0.1,11,115.982,Love Again,https://api.spotify.com/v1/tracks/4rPkN1FMzQyFNP9cLUGIIB,0.468,60f79086a24480877399e2c8
0.753,Olivia Rodrigo,0.638,0.259,0,0.219,0.219,7,88.485,enough for you,https://api.spotify.com/v1/tracks/2TOzTqQXNmR2zDJXihjZ2e,0.269,60f79087a24480877399e2c9
0.604,Lewis Capaldi,0.459,0.575,0,0.0885,0.0885,3,111.881,Before You Go,https://api.spotify.com/v1/tracks/2gMXnyrvIjhVBUZwvLZDMP,0.183,60f79087a24480877399e2ca
0.0561,Dua Lipa,0.695,0.884,0,0.213,0.213,6,103.014,Levitating,https://api.spotify.com/v1/tracks/39LLxExYz6ewLAcYrzQQyP,0.914,60f79087a24480877399e2cb
0.192,Sech,0.786,0.899,0.000189,0.299,0.299,10,90.025,Sal y Perrea,https://api.spotify.com/v1/tracks/5u7twkeask1VIyDeNTElSU,0.813,60f79087a24480877399e2cc
0.25,Internet Money,0.8,0.658,0,0.111,0.111,1,140.042,"Lemonade (feat. Gunna, Don Toliver & NAV)",https://api.spotify.com/v1/tracks/7hxHWCCAIIxFLCzvDgnQHX,0.462,60f79087a24480877399e2cd
0.512,Bruno Mars,0.523,0.606,0,0.106,0.106,1,145.837,Talking to the Moon,https://api.spotify.com/v1/tracks/161DnLWsx1i3u1JT05lzqU,0.065,60f79088a24480877399e2ce
0.00214,Shouse,0.727,0.681,0.000307,0.0861,0.0861,5,123.028,Love Tonight - Edit,https://api.spotify.com/v1/tracks/6OufwUcCqo81guU2jAlDVP,0.448,60f79088a24480877399e2cf
0.0012,Cardi B,0.868,0.795,0.0193,0.0461,0.0461,11,166,Up,https://api.spotify.com/v1/tracks/1M4OcYkxAtu3ErzSgDEfoi,0.819,60f79088a24480877399e2d0
0.807,Madison Beer,0.386,0.426,0,0.14,0.14,3,180.104,Reckless,https://api.spotify.com/v1/tracks/5ajjAnNRh8bxFvaVHzpPjh,0.261,60f79088a24480877399e2d1
0.0622,Imagine Dragons,0.776,0.78,0,0.081,0.081,10,124.949,Believer,https://api.spotify.com/v1/tracks/0pqnGHJpmpxLKifKRmU6WP,0.666,60f79088a24480877399e2d2
0.0104,Justin Bieber,0.658,0.634,0,0.12,0.12,1,140.002,Hold On,https://api.spotify.com/v1/tracks/1nahzW3kfMuwReTka28tH5,0.302,60f79089a24480877399e2d3
0.934,Billie Eilish,0.351,0.296,0,0.095,0.095,4,115.284,lovely (with Khalid),https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4,0.12,60f79089a24480877399e2d4
