Acousticness,Artist Name,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Tempo,Track Name,Track Reference,Valence,_id
0.0144,Trippie Redd,0.584,0.859,0,0.847,0.847,8,77.005,Miss The Rage (feat. Playboi Carti),https://api.spotify.com/v1/tracks/2BITQ360Knh6qNAOqR7Dyq,0.369,60fa03eb5b7a4bb7792a0005
0.0000384,Surf Curse,0.345,0.941,0.633,0.0511,0.0511,9,179.626,Freaks,https://api.spotify.com/v1/tracks/7EkWXAI1wn8Ii883ecd9xr,0.407,60fa03eb5b7a4bb7792a0006
0.524,Giveon,0.449,0.465,0.00000102,0.303,0.303,0,89.087,Heartbreak Anniversary,https://api.spotify.com/v1/tracks/3FAJ6O0NOHQV8Mc5Ri6ENp,0.543,60fa03ec5b7a4bb7792a0007
0.329,Billie Eilish,0.765,0.373,0.541,0.112,0.112,8,85.015,NDA,https://api.spotify.com/v1/tracks/6uqyE384HDSsuwpoF4mjrL,0.59,60fa03ec5b7a4bb7792a0008
0.103,Cochise,0.672,0.717,0,0.398,0.398,5,157.905,Tell Em,https://api.spotify.com/v1/tracks/7nc7mlSdWYeFom84zZ8Wr8,0.473,60fa03ec5b7a4bb7792a0009
0.00146,The Weeknd,0.514,0.73,0.0000954,0.0897,0.0897,1,171.005,Blinding Lights,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,0.334,60fa03ec5b7a4bb7792a000a
0.00165,Måneskin,0.75,0.608,0,0.178,0.178,1,132.507,I WANNA BE YOUR SLAVE,https://api.spotify.com/v1/tracks/4pt5fDVTg5GhEvEtlz9dKk,0.958,60fa03ec5b7a4bb7792a000b
0.000866,DJ Khaled,0.477,0.727,0,0.108,0.108,2,150.062,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),https://api.spotify.com/v1/tracks/1EJIcDYXwSqipW5dFe4uJz,0.227,60fa03ed5b7a4bb7792a000c
0.0377,Maroon 5,0.713,0.676,0,0.154,0.154,10,99.048,Beautiful Mistakes (feat. Megan Thee Stallion),https://api.spotify.com/v1/tracks/5zFglKYiknIxks8geR8rcL,0.721,60fa03ed5b7a4bb7792a000d
0.0495,The Neighbourhood,0.612,0.807,0.0177,0.101,0.101,10,124.053,Sweater Weather,https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6,0.398,60fa03ed5b7a4bb7792a000e
0.343,Roddy Ricch,0.643,0.403,0,0.138,0.138,1,98.54,Late At Night,https://api.spotify.com/v1/tracks/1fxYz1s15pyZLsJT0Hdh1m,0.111,60fa03ed5b7a4bb7792a000f
0.00226,Marshmello,0.721,0.738,0.00000441,0.118,0.118,7,119.976,Leave Before You Love Me (with Jonas Brothers),https://api.spotify.com/v1/tracks/4qu63nuBpdn0qHUHuObEj1,0.637,60fa03ed5b7a4bb7792a0010
0.0012,Cardi B,0.868,0.795,0.0193,0.0461,0.0461,11,166,Up,https://api.spotify.com/v1/tracks/1M4OcYkxAtu3ErzSgDEfoi,0.819,60fa03ee5b7a4bb7792a0011
0.753,Olivia Rodrigo,0.638,0.259,0,0.219,0.219,7,88.485,enough for you,https://api.spotify.com/v1/tracks/2TOzTqQXNmR2zDJXihjZ2e,0.269,60fa03ee5b7a4bb7792a0012
0.0249,Normani,0.74,0.576,0,0.104,0.104,6,110.095,Wild Side (feat. Cardi B),https://api.spotify.com/v1/tracks/4XkrlDVc8UQUvsyRsxvU0M,0.315,60fa03ee5b7a4bb7792a0013
0.112,Kali Uchis,0.653,0.524,0,0.203,0.203,11,83.97,telepatía,https://api.spotify.com/v1/tracks/6tDDoYIxWvMLTdKpjFkc1B,0.553,60fa03ee5b7a4bb7792a0014
0.499,SZA,0.436,0.655,0.0000081,0.688,0.688,1,121.002,Good Days,https://api.spotify.com/v1/tracks/3YJJjQPAbDT7mGpX3WtQ9A,0.412,60fa03ee5b7a4bb7792a0015
0.00473,Machine Gun Kelly,0.731,0.675,0,0.141,0.141,5,124.939,"my ex's best friend (with blackbear)",https://api.spotify.com/v1/tracks/7kDUspsoYfLkWnZR7qwHZl,0.298,60fa03ee5b7a4bb7792a0016
0.345,Polo G,0.832,0.534,0,0.165,0.165,1,93.924,Martin & Gina,https://api.spotify.com/v1/tracks/1VLtjHwRWOVJiE5Py7JxoQ,0.116,60fa03ef5b7a4bb7792a0017
0.174,24kGoldn,0.701,0.716,0,0.324,0.324,7,91.007,Mood (feat. iann dior),https://api.spotify.com/v1/tracks/4jPy3l0RUwlUI9T5XHBW2m,0.732,60fa03ef5b7a4bb7792a0018
0.00936,Bo Burnham,0.694,0.948,0.0000162,0.139,0.139,2,115.044,Bezos I,https://api.spotify.com/v1/tracks/0Kdj7nwaYQmvhxnqZaIQuW,0.705,60fa03ef5b7a4bb7792a0019
0.213,The Kid LAROI,0.662,0.413,0,0.134,0.134,0,93.005,WITHOUT YOU,https://api.spotify.com/v1/tracks/27OeeYzk6klgBh83TSvGMA,0.467,60fa03ef5b7a4bb7792a001a
0.251,Pop Smoke,0.662,0.686,0.00000559,0.349,0.349,7,143.971,Tell The Vision (feat. Kanye West & Pusha T),https://api.spotify.com/v1/tracks/2UwALqx6yOsXTFt7zRxnts,0.678,60fa03ef5b7a4bb7792a001b
0.192,Post Malone,0.695,0.762,0.00244,0.0863,0.0863,0,120.042,Circles,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb,0.553,60fa03f05b7a4bb7792a001c
0.191,Luke Combs,0.487,0.65,0,0.0933,0.0933,0,151.964,Forever After All,https://api.spotify.com/v1/tracks/6IBcOGPsniK3Pso1wHIhew,0.456,60fa03f05b7a4bb7792a001d
0.401,Bad Bunny,0.731,0.573,0.0000522,0.113,0.113,4,109.928,DÁKITI,https://api.spotify.com/v1/tracks/4MzXwWMhyBbmu6hOcLVD49,0.145,60fa03f05b7a4bb7792a001e
0.208,Doja Cat,0.749,0.463,0.0371,0.337,0.337,11,90.028,Streets,https://api.spotify.com/v1/tracks/60ynsPSSKe6O3sfwRnIBRf,0.19,60fa03f05b7a4bb7792a001f
0.122,Harry Styles,0.548,0.816,0,0.335,0.335,0,95.39,Watermelon Sugar,https://api.spotify.com/v1/tracks/6UelLqGlWMcVH1E5c4H7lY,0.557,60fa03f05b7a4bb7792a0020
0.533,Post Malone,0.755,0.522,0,0.0685,0.0685,2,89.96,Sunflower - Spider-Man: Into the Spider-Verse,https://api.spotify.com/v1/tracks/0RiRZpuVRbi7oqRdSMwhQY,0.925,60fa03f15b7a4bb7792a0021
0.138,Lil Baby,0.596,0.65,0,0.14,0.14,9,133.997,Hats Off (feat. Travis Scott),https://api.spotify.com/v1/tracks/4lUmnwRybYH7mMzf16xB0y,0.188,60fa03f15b7a4bb7792a0022
0.00302,Saweetie,0.84,0.766,0.00000361,0.0684,0.0684,4,94.018,Best Friend (feat. Doja Cat),https://api.spotify.com/v1/tracks/20BOju91NaEFK5Py4VJ2pp,0.402,60fa03f15b7a4bb7792a0023
0.941,Olivia Rodrigo,0.473,0.203,0,0.126,0.126,2,168.884,"1 step forward, 3 steps back",https://api.spotify.com/v1/tracks/4wcBRRpIfesgcyUtis7PEg,0.419,60fa03f15b7a4bb7792a0024
0.0622,J. Cole,0.597,0.587,0,0.214,0.214,7,140.021,m y . l i f e (with 21 Savage & Morray),https://api.spotify.com/v1/tracks/1D3z6HTiQsNmZxjl7F7eoG,0.0753,60fa03f15b7a4bb7792a0025
0.0255,Nelly,0.707,0.689,0,0.383,0.383,4,119.987,Lil Bit,https://api.spotify.com/v1/tracks/0NmuYnjETG3u3qx0OmEJev,0.41,60fa03f25b7a4bb7792a0026
0.0392,Young Stoner Life,0.887,0.485,0,0.141,0.141,11,125.987,Solid (feat. Drake),https://api.spotify.com/v1/tracks/6rTInqW3YECMkQsBEHw4sd,0.328,60fa03f25b7a4bb7792a0027
0.217,Bella Poarch,0.855,0.463,0.0000177,0.347,0.347,3,102.931,Build a Bitch,https://api.spotify.com/v1/tracks/7BoobGhD4x5K96Me0hqC8Q,0.866,60fa03f25b7a4bb7792a0028
0.451,Lil Tjay,0.907,0.393,0.00000135,0.135,0.135,4,104.949,Calling My Phone,https://api.spotify.com/v1/tracks/3J8EOeKLTLXORtWPpOU5bE,0.202,60fa03f25b7a4bb7792a0029
0.336,Pop Smoke,0.675,0.608,0,0.11,0.11,3,99.865,Demeanor (feat. Dua Lipa),https://api.spotify.com/v1/tracks/3DMs7bahbQTnoxCjgP7qoK,0.728,60fa03f25b7a4bb7792a002a
0.199,BIA,0.893,0.463,0,0.318,0.318,1,81.026,WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix,https://api.spotify.com/v1/tracks/67G6iaOw8DZqp1z8STR89R,0.591,60fa03f25b7a4bb7792a002b
0.0629,John Mayer,0.741,0.556,0.041,0.103,0.103,2,122.008,Shot in the Dark,https://api.spotify.com/v1/tracks/239yM7BAQ2CkNc61ogPGXo,0.587,60fa03f35b7a4bb7792a002c
0.116,Internet Money,0.792,0.707,0,0.12,0.12,7,134.997,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",https://api.spotify.com/v1/tracks/2IePEfMAtqWS6rLXXFZIgI,0.408,60fa03f35b7a4bb7792a002d
0.301,J. Cole,0.692,0.521,0,0.0565,0.0565,10,100.45,No Role Modelz,https://api.spotify.com/v1/tracks/62vpWI1CHwFy7tMIcSStl8,0.463,60fa03f35b7a4bb7792a002e
0.0332,Pop Smoke,0.912,0.589,0.0162,0.0795,0.0795,8,135.921,Coupe,https://api.spotify.com/v1/tracks/4wNKxMbE3n1gRm4F6OaCP1,0.486,60fa03f35b7a4bb7792a002f
0.0769,Juice WRLD,0.671,0.529,0.000335,0.0856,0.0856,0,161.989,All Girls Are The Same,https://api.spotify.com/v1/tracks/4VXIryQMWpIdGgYR4TrjT1,0.203,60fa03f35b7a4bb7792a0030
0.114,Nio Garcia,0.743,0.655,0,0.0764,0.0764,6,172.031,AM Remix,https://api.spotify.com/v1/tracks/05bfbizlM5AX6Mf1RRyMho,0.785,60fa03f45b7a4bb7792a0031
0.0224,Lil Tecca,0.807,0.659,0,0.309,0.309,11,82.465,Never Left,https://api.spotify.com/v1/tracks/21UkXrc9kD48rNpTMI2ecz,0.438,60fa03f45b7a4bb7792a0032
0.00336,Juice WRLD,0.65,0.613,0,0.267,0.267,9,149.972,Wishing Well,https://api.spotify.com/v1/tracks/2U5WueTLIK5WJLD7mvDODv,0.0804,60fa03f45b7a4bb7792a0033
0.663,Bo Burnham,0.665,0.527,0,0.306,0.306,2,94.711,Welcome to the Internet,https://api.spotify.com/v1/tracks/25AvaE23MXl06YRtQcQoJS,0.219,60fa03f45b7a4bb7792a0034
0.25,Internet Money,0.8,0.658,0,0.111,0.111,1,140.042,"Lemonade (feat. Gunna, Don Toliver & NAV)",https://api.spotify.com/v1/tracks/7hxHWCCAIIxFLCzvDgnQHX,0.462,60fa03f45b7a4bb7792a0035
0.349,Juice WRLD,0.511,0.566,0,0.34,0.34,6,83.903,Lucid Dreams,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,0.218,60fa03f55b7a4bb7792a0036
