,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
74,"deja vu","Olivia Rodrigo",143535,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
75,"En Tu Perra Vida","Grupo Firme",141579,https://open.spotify.com/track/0ldT3gl7aGNzrJyd4b1CA4
76,"Te Ire A Buscar","Santa Fe Klan",140552,https://open.spotify.com/track/3elpkpwYlmUbuvmVps08lJ
77,Brillas,"León Larregui",139459,https://open.spotify.com/track/6VuUMo1TusnqBxLTnr3hOI
78,Idiota,Morat,138951,https://open.spotify.com/track/0cS0bJ0oBylj3TFtz6x9pC
79,"De Los Besos Que Te Di","Christian Nodal",138698,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
80,MÍA,"Danna Paola",138673,https://open.spotify.com/track/2HWXhViZhTPJa10NgyrRRS
81,"Entre Nosotros","Tiago PZK",136878,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
82,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",134281,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
83,"No Me Conoce - Remix","Jhay Cortez",133402,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
84,"Hasta Que Me Olvides","Luis Miguel",133346,https://open.spotify.com/track/6vPAmoERUMRoTZaCCSWQ12
85,"Amor Tumbado","Natanael Cano",132170,https://open.spotify.com/track/5aJ1M43pinROpwaPnO8KRj
86,"SÚBELE EL VOLUMEN","Daddy Yankee",131587,https://open.spotify.com/track/343HgC6SVFtTAgMPlGoNjn
87,"Dime Cómo Quieres","Christian Nodal",130394,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
88,Tú,"Carin Leon",130268,https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr
89,"drivers license","Olivia Rodrigo",130242,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
90,"KESI - Remix",Camilo,130099,https://open.spotify.com/track/0IqCoZ168iRc9LqfrYgpZy
91,"2 Veces","Los Plebes del Rancho de Ariel Camacho",129366,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
92,"Palabra de Hombre","El Fantasma",128801,https://open.spotify.com/track/4CLkDJ4xLqkV4Vt2vPOny1
93,"Vámonos a Marte","Kevin Kaarl",128211,https://open.spotify.com/track/2TzkIzgzIHhewMxyh1u4hh
94,"I WANNA BE YOUR SLAVE",Måneskin,126592,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
95,"Con Tus Besos","Eslabon Armado",126572,https://open.spotify.com/track/6WYB1odDfMPVMyp1QxFInT
96,911,Sech,126144,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
97,Callaita,"Bad Bunny",125076,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
98,Vete,"Bad Bunny",124424,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
99,"La Curiosidad","Jay Wheeler",124286,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
100,"Don't Start Now","Dua Lipa",124274,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
101,"Si Estuviésemos Juntos","Bad Bunny",122697,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
102,Dynamite,BTS,122471,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
103,Todavia,"La Factoria",121092,https://open.spotify.com/track/3D5uEBD0cAEGZGUo5j9045
104,"Mente Positiva","Junior H",120904,https://open.spotify.com/track/3WQilym5Vi4ypxb70vx0eY
105,"Si Te Pudiera Mentir","Calibre 50",120329,https://open.spotify.com/track/3p6eieHX6oEOzJStPtEsLu
106,"Si Veo a Tu Mamá","Bad Bunny",120318,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
107,"Me La Avente","Carin Leon",120259,https://open.spotify.com/track/2QwMXe5zbqymDZGYsMDVqZ
108,"The Business",Tiësto,117729,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
109,"Save Your Tears","The Weeknd",117498,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
110,"La Incondicional","Luis Miguel",116747,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
111,"Me Dediqué a Perderte","Alejandro Fernández",116538,https://open.spotify.com/track/4NUt1fcnO9aQAELBgXq3Kr
112,"La Santa","Bad Bunny",116320,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
113,"El Envidioso","Los Dos Carnales",115942,https://open.spotify.com/track/53PoPAD389bBE4ePYuT95g
114,"Stay (with Justin Bieber)","The Kid LAROI",114962,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20
115,"La Mitad",Camilo,114949,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx
116,"Ella No Es Tuya - Remix","Rochy RD",114860,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
117,Fulanito,"Becky G",114371,https://open.spotify.com/track/59L8x0xy8njj75vzVCPMqg
118,"El Drip","Natanael Cano",113059,https://open.spotify.com/track/5NCBP3ivrIDcHEtzHSW3k0
119,"Se Me Olvidó","Christian Nodal",112059,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
120,traitor,"Olivia Rodrigo",111385,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
121,"Chica Ideal","Sebastian Yatra",111311,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
122,"Watermelon Sugar","Harry Styles",110591,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
123,"Relación - Remix",Sech,109960,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
124,"No Te Contaron Mal","Christian Nodal",109502,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
125,"Una Locura",Ozuna,108970,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
126,"Disfruto Lo Malo","Junior H",108965,https://open.spotify.com/track/46DU5gYWY2vjE79mbhX4Wv
127,"El Güero (Feat. Marca MP)","Grupo Firme",108314,https://open.spotify.com/track/2MeEuwplwbbjZ7hxRI6viw
128,"Hasta la Miel Amarga (feat. Grupo Firme)","Luis Angel ""El Flaco""",108100,https://open.spotify.com/track/3D3W7rDsuJIAtjInwh6Moc
