,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
71,"C'est la cité",Jul,86381,https://open.spotify.com/track/0PBLRJSxoXpxWRsKjXQw24
72,Assassinat,Jul,83228,https://open.spotify.com/track/3fdOkTuwYW2nyBi8vIibKc
73,"ONGBAK 2",1PLIKÉ140,82295,https://open.spotify.com/track/1VOn2rRxe7JBweoK4SINHe
74,"Floating Through Space",Sia,80900,https://open.spotify.com/track/0XwSUpdrF7nR7hVxbDs7mb
75,Fever,"Dua Lipa",80858,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
76,"Tout en Gucci",Ninho,80683,https://open.spotify.com/track/0i5GJckWb9uCZU4jcGoBca
77,"Love Again","Dua Lipa",80356,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
78,"Jalebi Baby (Tesher x Jason Derulo)",Tesher,80218,https://open.spotify.com/track/6FvSS3Goz7OC8oCC2eWqe8
79,GTA,JSX,79739,https://open.spotify.com/track/3nuRoZFV93hyFngba5hixq
80,"NightShop BlaBla",Laylow,79321,https://open.spotify.com/track/2TP7UD6L86nD8d8RbPB4mA
81,"Mal à la tête",4.4.2,78440,https://open.spotify.com/track/1TO85DMVoOejzq5YMMWAkl
82,Run,OneRepublic,74245,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
83,"Todo De Ti","Rauw Alejandro",73727,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
84,"Ride With Me (feat. Kid Ink)",Tungevaag,73550,https://open.spotify.com/track/03SEp9sXkAOAgxJtSLuVEi
85,Santorini,Rimkus,72856,https://open.spotify.com/track/3bgk9ObgTnp569Pe7XDST8
86,"+ De Pluie...",Laylow,72790,https://open.spotify.com/track/10UntnAZFd2JRwACGH0DNM
87,"Le reste","Clara Luciani",72545,https://open.spotify.com/track/73oVDoxJHbqOIkZ0C9ir31
88,"Sans moi",Franglish,72330,https://open.spotify.com/track/5cZ6NaDFs0a7ZYfGpaJWEt
89,Cabeza,OBOY,71684,https://open.spotify.com/track/66tNDqYNR2S6Svwgm3BMi9
90,"Dis moi comment.",Tayc,71598,https://open.spotify.com/track/3i4Va0SEnxGsEIULfouevb
91,"Blinding Lights","The Weeknd",70813,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
92,"Selfish Love (with Selena Gomez)","DJ Snake",70075,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
93,"C'est Eux Contre Nous",Laylow,69112,https://open.spotify.com/track/1nf8RBV6HA2CcGeyfCwMZF
94,"La vie qu'on mène",Ninho,67918,https://open.spotify.com/track/0Jh6iWjna1wk5le0Ahn7No
95,"Una Vaina Loca",Fuego,67245,https://open.spotify.com/track/337cEDExdFKmLrQMKjffxr
96,"Save Your Tears","The Weeknd",66585,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
97,"Watermelon Sugar","Harry Styles",65235,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
98,"Tu Comprends Maintenant ?",Laylow,64987,https://open.spotify.com/track/2uLMvjzZsAqyqDD4U7z2p4
99,"By Your Side (feat. Tom Grennan)","Calvin Harris",64082,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
100,"Attrape-moi si tu peux",Sofiane,60905,https://open.spotify.com/track/6LuAtG9sa0aU8GTMd9CQnO
101,Sapapaya,L'Algérino,60822,https://open.spotify.com/track/7A2HuM1W75PnQwUS6kahLA
102,"Téléphone - Extrait de CRCLR MVT SAISON II","Freeze corleone",58823,https://open.spotify.com/track/0FLegMOg3yN9e2zF5p9Vxb
103,6.3,Naps,58384,https://open.spotify.com/track/3lTL4LdFKVF51lseI2nk5D
104,"Dance Monkey","Tones And I",57639,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
105,"Cover Me In Sunshine",P!nk,57139,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
106,Rise,"Lost Frequencies",56640,https://open.spotify.com/track/7HXBG0W8gFJwHUh5mVF9tf
107,Champion,"Serge Ibaka",55983,https://open.spotify.com/track/7moGDROshDKDpuQxtQ3q4m
108,"En détente",Naps,55853,https://open.spotify.com/track/5HerMpAegwiAAFOIXNCxED
109,"Pilote (feat. Hamza)",PLK,55454,https://open.spotify.com/track/12GV2Wr4p1hBWQCrQcVsew
110,"Mood (feat. iann dior)",24kGoldn,55171,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
111,"Aimer à mort",Louane,54805,https://open.spotify.com/track/2HENwndPLHINxHhQPMh8BE
112,Noblabla,Larry,54354,https://open.spotify.com/track/1ofkPNwvdW7InzOTm6jxb7
113,"Freeze Raël","Freeze corleone",54003,https://open.spotify.com/track/6DPrYPPGYK218iVIZDix3i
114,"Freestyle 5min #11",Zkr,53575,https://open.spotify.com/track/4mNDKJGdcdt20KnZOIglRE
115,"ma p'tite étoile",Hatik,53228,https://open.spotify.com/track/7iSEs4lppLZQEPOG4e6BbF
116,Cramé,"Koba LaD",52855,https://open.spotify.com/track/0XUkVNGuNPWTydXoauCs1J
117,"Coffre plein","Koba LaD",52748,https://open.spotify.com/track/70pkwEEG7nDTXBFqoGQkH0
118,"Astronaut In The Ocean","Masked Wolf",52688,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
119,"Tiki Taka",Benab,52435,https://open.spotify.com/track/5csxKPX4HuN8UDEdHUxcqz
