,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
170,Dior,"Pop Smoke",755219,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
171,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",754193,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
172,"Every Breath You Take","The Police",753990,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
173,"Dreams - 2004 Remaster","Fleetwood Mac",751819,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
174,"Martin & Gina","Polo G",738048,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
175,"Lost Cause","Billie Eilish",737956,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
176,Wrecked,"Imagine Dragons",736972,https://open.spotify.com/track/2d1MywHy6FwKdzxFuSJnwl
177,"All of Me","John Legend",734775,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
178,"More Time","Pop Smoke",733285,https://open.spotify.com/track/2wzionesqIt3x5Sglb4n91
179,"MI FAI IMPAZZIRE",BLANCO,730354,https://open.spotify.com/track/1x3Qb8np6S1UvpSLthwEJN
180,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","Internet Money",729377,https://open.spotify.com/track/2IePEfMAtqWS6rLXXFZIgI
181,"Breaking Me",Topic,728988,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
182,"One Dance",Drake,727763,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
183,"Best Friend (feat. Doja Cat)",Saweetie,726611,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
184,"hope ur ok","Olivia Rodrigo",724824,https://open.spotify.com/track/1zejeOnykpCoyVSit6Bwp3
185,"As the World Caves In","Sarah Cothran",716025,https://open.spotify.com/track/7LAmsNJpBaNvNg7VZPXxSv
186,AM,"Nio Garcia",715580,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
187,"Ride It",Regard,713844,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
188,"Follow You","Imagine Dragons",713083,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
189,MORENA,"Luan Santana",712256,https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd
190,"Genius (feat. Lil Tjay & Swae Lee)","Pop Smoke",712250,https://open.spotify.com/track/0kNYrbMehFxp1eleTwUjkP
191,"7 rings","Ariana Grande",711630,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
192,Woman,"Doja Cat",711418,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
193,"Não, Não Vou","Mari Fernandez",709061,https://open.spotify.com/track/0xBQvhJAm6f7J142ympKOn
194,"Another One Bites The Dust - Remastered 2011",Queen,707335,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
195,"Life Goes On",BTS,705362,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
196,"Manslaughter (feat. Rick Ross & The-Dream)","Pop Smoke",702570,https://open.spotify.com/track/5EVzgDPaM0LCM3M5exl3z8
197,"The Hills","The Weeknd",700769,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
198,"Our Song",Anne-Marie,699119,https://open.spotify.com/track/5zqObw7wjBgL9TDiAymxPn
199,"Do I Wanna Know?","Arctic Monkeys",698522,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
200,"People Watching","Conan Gray",696122,https://open.spotify.com/track/4JeOesjcWWlprTAvucDSJX
