,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
96,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,275324,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
97,Wockesha,"Moneybagg Yo",273397,https://open.spotify.com/track/0nqhKXDjsyBMvbeWmgijD0
98,"hope ur ok","Olivia Rodrigo",272534,https://open.spotify.com/track/1zejeOnykpCoyVSit6Bwp3
99,"People Watching","Conan Gray",271739,https://open.spotify.com/track/4JeOesjcWWlprTAvucDSJX
100,"Last Train Home","John Mayer",270880,https://open.spotify.com/track/0tgBtQ0ISnMQOKorrN9HLX
101,"Laugh Now Cry Later (feat. Lil Durk)",Drake,270281,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
102,"Mr. Brightside","The Killers",266723,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
103,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",264871,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
104,"GANG GANG (with Lil Wayne)","Polo G",264520,https://open.spotify.com/track/0ezwvY7TkCwDEkKR49084k
105,"Daddy Issues","The Neighbourhood",263688,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
106,Memory,"Kane Brown",261932,https://open.spotify.com/track/34chhNX59Wo9HMFCsI3K8Y
107,"Volando - Remix",Mora,259360,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
108,"Electric Love",BØRNS,259224,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
109,"The Spins","Mac Miller",257215,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
110,"Save Your Tears","The Weeknd",256482,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
111,Robbery,"Juice WRLD",255385,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
112,"Genius (feat. Lil Tjay & Swae Lee)","Pop Smoke",254201,https://open.spotify.com/track/0kNYrbMehFxp1eleTwUjkP
113,Pain,PinkPantheress,253565,https://open.spotify.com/track/7CIERzyqIwLVKGp00YbHRO
114,"New Light","John Mayer",252539,https://open.spotify.com/track/4T6FWA703h6H7zk1FoSARw
115,"20 Min","Lil Uzi Vert",252350,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
116,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",252100,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
117,A-O-K,"Tai Verdes",251830,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
118,"Blueberry Faygo","Lil Mosey",250476,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
119,"What’s Next",Drake,249303,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
120,"Get Into It (Yuh)","Doja Cat",248232,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
121,"WAP (feat. Megan Thee Stallion)","Cardi B",248004,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
122,"Cigarette Daydreams","Cage The Elephant",246665,https://open.spotify.com/track/0lkQOB949M2gLyut86aJ1b
123,"Ramen & OJ","Joyner Lucas",246496,https://open.spotify.com/track/4TIqzdAssasqx3DAe6cG9J
124,"Someone You Loved","Lewis Capaldi",246207,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
125,"Space Song","Beach House",245594,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
126,"Whiskey Glasses","Morgan Wallen",244492,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
127,"Run It Up (feat. Offset & Moneybagg Yo)","Lil Tjay",242294,https://open.spotify.com/track/1dg3qy5DjoJodawfOCgrTP
128,Heather,"Conan Gray",242174,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
129,"I Don't Do Drugs (feat. Ariana Grande)","Doja Cat",240402,https://open.spotify.com/track/0FFsgUoFibYISzMxuGS61W
130,"Everybody Talks","Neon Trees",238244,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq
131,"Woo Baby (feat. Chris Brown)","Pop Smoke",237654,https://open.spotify.com/track/58T4yPLn4NjBYXfRxeweyM
132,goosebumps,"Travis Scott",236861,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
133,"The Box","Roddy Ricch",236137,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
134,"Tongue Tied",Grouplove,235808,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
135,"Knock Knock",SoFaygo,235743,https://open.spotify.com/track/6aHoPULNO7pSL2ZfUY0bU8
136,Reckless,"Madison Beer",235625,https://open.spotify.com/track/5ajjAnNRh8bxFvaVHzpPjh
137,"you broke me first","Tate McRae",235505,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
138,"Don't Start Now","Dua Lipa",234395,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
139,Dior,"Pop Smoke",233942,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
140,Dynamite,BTS,232391,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
141,"Goosebumps - Remix","Travis Scott",231446,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
142,"JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams)","Tyler, The Creator",230703,https://open.spotify.com/track/7z4xW9WY86uH3gd1V9pfCM
143,Woman,"Doja Cat",230572,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
144,"Outside (Better Days)",Blueface,230470,https://open.spotify.com/track/26BMsCXJpD7eYtP7ufhApC
145,"Talking to the Moon","Bruno Mars",229346,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
146,"30 (feat. Bizzy Banks)","Pop Smoke",229310,https://open.spotify.com/track/24YG5Z8Of1VHovrfXsbvCZ
147,positions,"Ariana Grande",229238,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
148,"As the World Caves In","Sarah Cothran",228480,https://open.spotify.com/track/7LAmsNJpBaNvNg7VZPXxSv
149,"SLOW DANCING IN THE DARK",Joji,228335,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
150,"4 Da Gang (with Roddy Ricch)","42 Dugg",227347,https://open.spotify.com/track/1mAey8kEPmDM2icL56kS9d
151,"Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay",226170,https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv
152,"More Time","Pop Smoke",225234,https://open.spotify.com/track/2wzionesqIt3x5Sglb4n91
153,"No Return (with The Kid LAROI & Lil Durk)","Polo G",223792,https://open.spotify.com/track/23OYT3SFtoJqhiAUqktbc1
154,"Manslaughter (feat. Rick Ross & The-Dream)","Pop Smoke",222755,https://open.spotify.com/track/5EVzgDPaM0LCM3M5exl3z8
155,YKWIM?,"Yot Club",222011,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
156,"Beautiful Crazy","Luke Combs",221624,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
157,"The Less I Know The Better","Tame Impala",221437,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
158,"XO Tour Llif3","Lil Uzi Vert",220872,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
